District Name,Year,Total Operating Revenue,Student Count,Campus Name,County Name,Region,Region Name,ERW,SAT Math,SAT Total,ACT English,ACT Math,ACT Reading,ACT Science,ACT Compos,per student budget
eagle pass isd,2022,190671774.0,13358,Eagle Pass HS,Maverick County,20.0,San Antonio,482.0,463.0,945.0,21.9,21.6,22.2,22.2,22.1,14273
belton isd,2022,147161530.0,13298,Belton HS,Bell County,12.0,Waco,494.0,481.0,975.0,21.9,21.4,23.6,22.7,22.5,11066
victoria isd,2022,153180874.0,13253,Victoria East HS,Victoria County,3.0,Victoria,510.0,477.0,987.0,21.5,21.7,22.3,22.4,22.1,11558
victoria isd,2022,153180874.0,13253,Victoria West HS,Victoria County,3.0,Victoria,516.0,509.0,1025.0,19.0,20.5,20.2,20.6,20.2,11558
southwest isd,2022,181169850.0,13165,Southwest Legacy HS,Bexar County,20.0,San Antonio,431.0,412.0,843.0,13.6,15.8,16.2,16.3,15.6,13761
southwest isd,2022,181169850.0,13165,Southwest HS,Bexar County,20.0,San Antonio,457.0,437.0,894.0,13.7,16.0,16.8,16.6,15.9,13761
coppell isd,2022,129201315.0,13107,New Tech HS at Coppell,Dallas County,10.0,Richardson,567.0,544.0,1111.0,20.9,21.7,20.9,21.1,21.3,9857
coppell isd,2022,129201315.0,13107,Coppell HS,Dallas County,10.0,Richardson,624.0,640.0,1264.0,27.1,26.8,28.1,26.7,27.3,9857
donna isd,2022,188918512.0,13060,Donna North HS,Hidalgo County,1.0,Edinburg,470.0,480.0,950.0,15.2,16.2,17.4,17.9,16.8,14465
donna isd,2022,188918512.0,13060,Donna HS,Hidalgo County,1.0,Edinburg,461.0,449.0,910.0,16.1,17.1,18.3,18.2,17.6,14465
burleson isd,2022,134200682.0,12693,Burleson HS,Johnson County,11.0,Fort Worth,557.0,532.0,1089.0,17.2,18.2,19.1,19.0,18.5,10572
burleson isd,2022,134200682.0,12693,Burleson Centennial HS,Johnson County,11.0,Fort Worth,551.0,516.0,1067.0,16.4,17.2,18.2,18.4,17.6,10572
burleson isd,2022,134200682.0,12693,Burleson Collegiate HS,Johnson County,11.0,Fort Worth,559.0,543.0,1102.0,20.1,20.3,22.0,20.8,20.8,10572
georgetown isd,2022,136180892.0,12566,Georgetown HS,Williamson County,13.0,Austin,536.0,514.0,1051.0,22.1,22.8,25.3,23.4,23.5,10837
georgetown isd,2022,136180892.0,12566,East View HS,Williamson County,13.0,Austin,488.0,470.0,958.0,22.2,22.7,25.3,24.0,23.6,10837
